"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_value_error[-2147483649-1-addition]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","5","tests","test_functionality","","","","test_remainder_good[13--5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_division_good[-10-5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_multiplication_good[1--2147483648]",""
"passed","Sun Apr 10 21:44:32 GMT+07:00 2022","Sun Apr 10 21:44:39 GMT+07:00 2022","6940","tests","test_app","","","","test_launching_with_params[Калькулятор запущен1]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","3","tests","test_error_codes","","","","test_post_error_code_2[json1-addition]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","2","tests","test_error_codes","","","","test_post_error_code_2[json1-multiplication]",""
"skipped","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_value_error[2147483648-1-multiplication]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_division_good[1-2147483647]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","3","tests","test_error_codes","","","","test_post_error_code_2[json1-division]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_type_error[1-15-multiplication]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_multiplication_good[-10-0]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","3","tests","test_error_codes","","","","test_post_error_code_2[json3-remainder]",""
"passed","Sun Apr 10 21:43:58 GMT+07:00 2022","Sun Apr 10 21:44:00 GMT+07:00 2022","1660","tests","test_app","","","","test_launching[Калькулятор уже запущен]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_division_good[10--5]",""
"passed","Sun Apr 10 21:44:43 GMT+07:00 2022","Sun Apr 10 21:44:46 GMT+07:00 2022","3773","tests","test_app","","","","test_launching_with_params[Калькулятор остановлен1]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_multiplication_good[10-5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_value_error[1--2147483649-multiplication]",""
"passed","Sun Apr 10 21:43:57 GMT+07:00 2022","Sun Apr 10 21:43:57 GMT+07:00 2022","3","tests","test_APImethods","","","","Проверка работоспособности OPTIONS метода",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","3","tests","test_error_codes","","","","test_post_error_code_2[json0-multiplication]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_type_error[1200000.0-1-addition]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_type_error[1-8.1-multiplication]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_type_error[8.1-1-multiplication]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","3","tests","test_error_codes","","","","test_post_error_code_5_2[my_own_task_lol]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_addition_good[0--2147483648]",""
"skipped","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_zero_division_error[1-0-division]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_type_error[1-15-addition]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_type_error[1-8.1-division]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_type_error[1-15-division]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_multiplication_good[-2147483648-1]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_type_error[1200000.0-1-multiplication]",""
"skipped","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","5","tests","test_functionality","","","","test_zero_division_error[1-0-remainder]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_value_error[-2147483649-1-division]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","3","tests","test_error_codes","","","","test_post_error_code_2[json2-addition]",""
"passed","Sun Apr 10 21:44:22 GMT+07:00 2022","Sun Apr 10 21:44:25 GMT+07:00 2022","3808","tests","test_app","","","","test_launching_with_params[Калькулятор остановлен0]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","3","tests","test_error_codes","","","","test_post_error_code_5_2[remainder]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","4","tests","test_error_codes","","","","test_get_error_code_5",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","4","tests","test_functionality","","","","test_type_error[15-1-multiplication]",""
"passed","Sun Apr 10 21:44:00 GMT+07:00 2022","Sun Apr 10 21:44:06 GMT+07:00 2022","6108","tests","test_app","","","","test_launching[Калькулятор рестартанул]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_remainder_good[-13-5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_addition_good[-10-5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_remainder_good[2147483647-1]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_addition_good[2147483647-0]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_remainder_good[-2147483648-1]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_type_error[8.1-1-division]",""
"passed","Sun Apr 10 21:43:57 GMT+07:00 2022","Sun Apr 10 21:43:57 GMT+07:00 2022","3","tests","test_APImethods","","","","Проверка работоспособности POST метода",""
"skipped","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_value_error[2147483648-1-addition]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_value_error[1-2147483648-multiplication]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_value_error[1--2147483649-remainder]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","3","tests","test_error_codes","","","","test_post_error_code_2[json0-remainder]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","2","tests","test_functionality","","","","test_type_error[15-1-addition]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","4","tests","test_error_codes","","","","test_post_error_code_5_1[remainder]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_division_good[-10--5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_addition_good[-2147483648-0]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_type_error[1-1200000.0-remainder]",""
"passed","Sun Apr 10 21:44:14 GMT+07:00 2022","Sun Apr 10 21:44:19 GMT+07:00 2022","4938","tests","test_app","","","","test_launching_with_params[Калькулятор запущен0]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_remainder_good[13-5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_value_error[-2147483649-1-multiplication]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_type_error[1-1200000.0-multiplication]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_type_error[1-1200000.0-addition]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_value_error[1-2147483648-addition]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","4","tests","test_error_codes","","","","test_post_error_code_5_2[addition]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","4","tests","test_error_codes","","","","test_post_error_code_5_1[division]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_division_good[-2147483648-1]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_division_good[2147483647-1]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_remainder_good[1-2147483647]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","3","tests","test_functionality","","","","test_type_error[15-1-division]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_type_error[8.1-1-addition]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","2","tests","test_error_codes","","","","test_post_error_code_2[json0-addition]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","5","tests","test_error_codes","","","","test_post_error_code_2[json1-remainder]",""
"skipped","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_value_error[2147483648-1-remainder]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","4","tests","test_error_codes","","","","test_post_error_code_2[json0-division]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_type_error[1200000.0-1-remainder]",""
"passed","Sun Apr 10 21:44:06 GMT+07:00 2022","Sun Apr 10 21:44:08 GMT+07:00 2022","1820","tests","test_app","","","","test_launching[Калькулятор остановлен]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","2","tests","test_error_codes","","","","test_post_error_code_5_2[division]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_addition_good[-10--5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_value_error[1-2147483648-remainder]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_multiplication_good[-10--5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_multiplication_good[0--5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_remainder_good[-13--5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_multiplication_good[-10-5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_multiplication_good[2147483647-1]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_value_error[1--2147483649-addition]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_multiplication_good[1-2147483647]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_division_good[1--2147483648]",""
"skipped","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_value_error[2147483648-1-division]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_value_error[1-2147483648-division]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","5","tests","test_error_codes","","","","test_post_error_code_5_1[addition]",""
"passed","Sun Apr 10 21:44:08 GMT+07:00 2022","Sun Apr 10 21:44:12 GMT+07:00 2022","3795","tests","test_app","","","","test_launching[Калькулятор не запущен]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","4","tests","test_error_codes","","","","test_post_error_code_2[json2-division]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_addition_good[10-5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_type_error[1-1200000.0-division]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","4","tests","test_error_codes","","","","test_post_error_code_2[json3-multiplication]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","2","tests","test_error_codes","","","","test_post_error_code_2[json3-addition]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_type_error[8.1-1-remainder]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_type_error[15-1-remainder]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","3","tests","test_error_codes","","","","test_post_error_code_2[json2-multiplication]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","2","tests","test_functionality","","","","test_division_good[10-5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_type_error[1200000.0-1-division]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","3","tests","test_error_codes","","","","test_post_error_code_2[json2-remainder]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","3","tests","test_error_codes","","","","test_post_error_code_5_1[multiplication]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","4","tests","test_error_codes","","","","test_post_error_code_2[json3-division]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_type_error[1-8.1-remainder]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_value_error[1--2147483649-division]",""
"passed","Sun Apr 10 21:44:51 GMT+07:00 2022","Sun Apr 10 21:44:51 GMT+07:00 2022","3","tests","test_error_codes","","","","test_post_error_code_5_2[multiplication]",""
"passed","Sun Apr 10 21:43:57 GMT+07:00 2022","Sun Apr 10 21:43:57 GMT+07:00 2022","5","tests","test_APImethods","","","","Проверка работоспособности GET метода",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_type_error[1-15-remainder]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_type_error[1-8.1-addition]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_addition_good[0-2147483647]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_remainder_good[1--2147483648]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","5","tests","test_functionality","","","","test_value_error[-2147483649-1-remainder]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","3","tests","test_functionality","","","","test_addition_good[10--5]",""
"passed","Sun Apr 10 21:44:52 GMT+07:00 2022","Sun Apr 10 21:44:52 GMT+07:00 2022","4","tests","test_functionality","","","","test_multiplication_good[10--5]",""
